    学号      姓名   语文   数学   英语   物理   化学   生物   历史   地理   政治   微机   总分 平均分
    0101    贺德惠    101    100     96    100     96     97     98     97     94     91    970  97.00
    0102    朱海莲     40     46      4      5     23     30     50      8      5     15    226  22.60
    0103    田惜文     74     95     53    100     89     58     95     74     90     58    786  78.60
    0104      姚实     45     56     48     37     31     72     36     35     66     31    457  45.70
    0105      曹宛     31     18     11     44     24     38     40     47     28     14    295  29.50
    0106    傅康乐      7     28     21     11     20     16     33     40     48     39    263  26.30
    0107    陈洮洮     56     34     41     44     63     36     59     39     53     63    488  48.80
    0108    程新蕾     70     63     68     45     33     49     66     33     45     31    503  50.30
    0109      苏佐     53     67     31     37     38     64     34     60     41     32    457  45.70
    0110    苏丝琦     93     98     97     97     96     95     99     98     94     91    958  95.80
    0111    罗唱月     80     99     88     86     93     89     85     96     82     87    885  88.50
    0112      康孜     86     83     64     85     70     51     64     59     90     89    741  74.10
    0113    张悦淇     18      5     25     49     17     31     47     39     12     46    289  28.90
    0114    许紫琼     89     93     61     87     93     73     59     92     75     69    791  79.10
    0115    金含双     31     64     33     43     39     35     55     55     42     53    450  45.00
    0116      吴圣     88     85     85     99     95     99    100     76     99     81    907  90.70
    0117      陈卿     84     97     87     94     91     84     84     88     79     80    868  86.80
    0118      龙绍     82     60     85     56     72     89     52     81     83     82    742  74.20
    0119      吕珠     56     63     53     90     71     53     96     66     88     99    735  73.50
    0120      戴珆     86     82     77     78     86     87     80     84     76     78    814  81.40
    0121      谢媱     87     87     78     89     81     85     84     81     79     89    840  84.00
    0122      马偀     77     79     84     85     81     86     81     81     78     90    822  82.20
    0123      任鸾     49     46     31     58     67     66     46     48     52     59    522  52.20
    0124    董昂然     85     61     64     85     89     72     52     70     82     88    748  74.80
    0125    邱建白     94     97     90     99     84     88     79     88     95     93    907  90.70
    0126      高叔     67     41     61     50     43     47     54     68     54     74    559  55.90
    0127    范凯复     28     25     17     40     31     26     45     16     20     28    276  27.60
    0128    文晗昱     77     85     78     85     82     76     88     83     88     82    824  82.40
    0129      熊珊     96     92     81     91     85     94     81     77     88     80    865  86.50
    0130    刘怀柔     80     83     80     83     89     90     57     63     81     57    763  76.30
    0131      陆倩     68     60     65     60     52     52     48     55     35     50    545  54.50
    0132  爱尔奎特    200    200    200    200    200    200    200    200    200    200   2000 200.00


    学号      姓名   语文   数学   英语   物理   化学   生物   历史   地理   政治   微机   总分 平均分
    0201      毛柔     31     57     69     74     32     43     35     71     53     41    506  50.60
    0202    江羡丽     69     56     59     84     64     57     76     55     84     78    682  68.20
    0203    任鸿波     81     81     90     80     80     88     58     80     70     85    793  79.30
    0204    曾秋双     96     99     99     95     97     99     91     93     92     99    960  96.00
    0205    贾夜白     67     57     71     68     71     87     61     91     87     92    752  75.20
    0206    易怀蕊     46     46     13     16     35     17     11     21      1     30    236  23.60
    0207    蒋秀珊     89     58     77     81     74     60     84     87     83     90    783  78.30
    0208      孔羚     66     69     86     93     87     53     56     93     64     54    721  72.10
    0209    孙烨烨     79     82     86     83     81     77     83     79     79     90    819  81.90
    0210      侯魁     73     69     81     84     86     64     60     89     70     63    739  73.90
    0211    蒋志行     18     16     14     35     46     10     24     11     45     17    236  23.60
    0212    朱月朗     43     46     27     15     47     33     38     15     15      3    282  28.20
    0213    万敏慧     49     52     64     33     54     39     67     39     51     38    486  48.60
    0214    邹景天     74     59     99     98     99     95     59     69     99     71    822  82.20
    0215    于阳曜      6     12      4     23      4     31     17      1     35     33    166  16.60
    0216      陆选     97     99     92     93     92     99     94     93     99     99    957  95.70
    0217    杨德辉     43     13     14     37     49     37     23     48     13     11    288  28.80
    0218    陈绍元     45     39      9      1     36     12     25     33     14     50    264  26.40
    0219      吕倩     82     90     78     80     85     77     85     84     90     77    828  82.80
    0220    乔惠然     97     99     95     98     95     93     95     97     92     92    953  95.30
    0221    郑熠彤     54     73     62     64     96    100     96     99     72     94    810  81.00
    0222      马候     49     74     30     39     36     60     36     61     67     66    518  51.80
    0223      顾婧     42     33     44     50     36     71     34     73     59     39    481  48.10
    0224      孙恬     60     63     73     68     87     78     86     86     66     85    752  75.20
    0225      于密     80     65     75     85     81     59     75     77     86     77    760  76.00
    0226    吴晟睿     57     61     88     51     97     87     89     87    100     94    811  81.10
    0227      董烟     55     62     93     92     67     52     98     88     90     74    771  77.10
    0228    程文赋     83     80     86     77     84     87     78     78     85     83    821  82.10
    0229      罗音     65     41     65     63     35     33     47     62     40     46    497  49.70
    0230    秦明轩     20      1     11     39     15     30     39     17     13      1    186  18.60
    0231      秦惠     91     88     98     84     91     94     96     84     95     96    917  91.70


    学号      姓名   语文   数学   英语   物理   化学   生物   历史   地理   政治   微机   总分 平均分
    0301      夏诤     97     80     96     98     95     93     95     90     89     80    913  91.30
    0302    赵竹悦     96     74     93     66     72     99     56     88     95     92    831  83.10
    0303      吴仝     47     17     17     33     30     33     19     38     45     20    299  29.90
    0304    余媛女     99     81     78     88     87     96     78     81     92     95    875  87.50
    0305    潘睿聪     52     58     71     54     81     81     58     86     85     78    704  70.40
    0306    常云蔚     44     37     13     23     46     48     34     47     33     37    362  36.20
    0307      任育     78     80     87     77     88     83     83     86     78     83    823  82.30
    0308      石希     47     10     48     50     33     17      1     25     49     11    291  29.10
    0309      魏姗     87     87     95     97     94     78     94     91     78     97    898  89.80
    0310      钟琪     72     33     38     40     54     37     71     50     37     60    492  49.20
    0311      孙炫     91     92     99     95     96     98     99     94     95     94    953  95.30
    0312      杨绣     89     71     67     95     87     57     58     94     94     93    805  80.50
    0313    戴妍歌     89     88     76     77     87     85     88     85     82     78    835  83.50
    0314    夏锦程     86     77     84     53     79     62     63     84     88     58    734  73.40
    0315      任沛     98     88     98     94     79     84     92     77     99     98    907  90.70
    0316    陆刚捷     37     34     53     75     47     70     44     31     66     54    511  51.10
    0317    邹黎昕     86     79     93     96     97     99     98     86     86     94    914  91.40
    0318    武俊杰     65     62     56     74     81     77     83     87     58     86    729  72.90
    0319    吴力夫     71     61     31     50     57     46     62     44     41     71    534  53.40
    0320      邱娴     83     63     89     66     74     57     55     86     64     78    715  71.50
    0321      孔宙     85     94     90     86     79     90     96     78     96     84    878  87.80
    0322      光辉     67     42     67     56     68     54     43     46     64     58    565  56.50
    0323    冯弘懿     72     60     34     58     56     37     72     66     41     44    540  54.00
    0324    白景福     40     38     69     71     61     66     74     72     44     48    583  58.30
    0325      段盈     89     82     95     83     99     79     81     84     85     97    874  87.40
    0326    熊正文     95     93     96    100     96     99     94     93     98     97    961  96.10
    0327      傅凤     98     88     96     86     78     86     94     92     99     87    904  90.40
    0328    乔雪环     74     61     78     79     61     61     83     84     87     64    732  73.20
    0329      钱浩     97     99     93     99     97     98     94     98     99     96    970  97.00
    0330      曹滕     49     35     70     73     60     40     66     30     37     38    498  49.80
    0331    黎梦琪     55     67     48     40     69     54     35     71     54     33    526  52.60


    学号      姓名   语文   数学   英语   物理   化学   生物   历史   地理   政治   微机   总分 平均分
    0401    刘昊苍     60     58     59     91     52     98     54     64     92     62    690  69.00
    0402    苏锐智     88     77     83     84     86     87     79     77     84     77    822  82.20
    0403    钱元思     67     66     69     49     62     69     35     34     40     62    553  55.30
    0404    杜浩文     52     67     58     84     77     76     88     68     79     66    715  71.50
    0405    万爱萍    100     92     96     81     89     83     97     91     94     77    900  90.00
    0406    何雪松     45     73     35     55     45     40     33     60     63     48    497  49.70
    0407      叶月     69     73     64     53     99     94     62     70     92     94    770  77.00
    0408      江火     30     46     32     31     38     53     45     47     32     47    401  40.10
    0409    白婷然    100     91     95     95     94     96     92     95     93     99    950  95.00
    0410      邱琛     64     55     68     51     86     93     56     85     99     93    750  75.00
    0411      方玟     92     99     87     57     87     52     63     89     98     58    782  78.20
    0412    董和惬     25     22     34     38     10     28     15     13     31     44    260  26.00
    0413      张剑     56     51     98     70     89     92     85     59     67     74    741  74.10
    0414    汪锦洁     91     80     80     89     96     99     78     84     96     91    884  88.40
    0415      余参     95     89     95     97     89     91     78     89     85     91    899  89.90
    0416      范琰     98     95     87     85     88     86     69     69     94     54    825  82.50
    0417      许辉     67     42     67     56     68     54     43     46     64     58    565  56.50
    0418    薛子凡      4     35     50     24     21     27     49     41     38     41    330  33.00
    0419      袁蓝     65     56     80     82     89     86     63     57     89     56    723  72.30
    0420      董金     69     59     71     63     88     63     74     51     71     80    689  68.90
    0421      吴丽     51     57     45     73     53     65     56     67     55     52    574  57.40
    0422    金修远     88     88     84     81     81     88     78     78     79     90    835  83.50
    0423      彭晁     68     83     52     81     85     64     88     71     82     56    730  73.00
    0424    黄怜寒     75     55     86     69     81     81     82     53     66     72    720  72.00
    0425      秦国     85     88     83     79     77     89     82     80     78     77    818  81.80
    0426    杜永福     86     90     90     89     79     80     81     87     88     81    851  85.10
    0427    赵睿好     78     87     83     85     82     81     82     79     87     80    824  82.40
    0428    金子平     83     81     86     77     88     84     90     82     82     81    834  83.40
    0429    汤嘉怡     87     73     89     92     53     58     87     86     86     93    804  80.40
    0430    钟阳成     97     98     92     84     92     96     89     92     98     96    934  93.40
    0431      邵欧     88     85     86     77     79     88     93     76     78     89    839  83.90


    学号      姓名   语文   数学   英语   物理   化学   生物   历史   地理   政治   微机   总分 平均分
    0501    张勇捷     94     92     93     95     80     81     95     91     78     91    890  89.00
    0502      卢兰     80     81     89     87     89     88     87     85     86     85    857  85.70
    0503      黎莱     62     35     69     53     40     48     41     66     64     56    534  53.40
    0504    文经纬     49      4     24     40     31     50     19     22     40     16    295  29.50
    0505    郑寄琴     25     22      8     35     15     22     28      8     24     44    231  23.10
    0506      阎刚     84     64     81     81     78     76     90     72     65     58    749  74.90
    0507      袁明     91     94     86     87     83     97     93     78     88     82    879  87.90
    0508      吴穆     88    100     89     80     86     81     90     85     97    100    896  89.60
    0509      赵兰     69     64     63     55     57     37     73     31     48     40    537  53.70
    0510      常融     50     48     40     41     75     32     51     66     71     34    508  50.80
    0511    易乐儿     99     94     96     99     99     99     93     94     98     95    966  96.60
    0512    袁世英     78     86     79     96     98     96     89     76     91     80    869  86.90
    0513    万德寿     58     71     86     88     73     76     71     72     72     90    757  75.70
    0514      邹园     72     84     55     69     80     82     85     87     89     58    761  76.10
    0515      秦飚     42     73     44     36     67     60     45     52     47     35    501  50.10
    0516    郝以山    100     96     93     98     92     96     95     99     97     99    965  96.50
    0517      武珠     37     35     57     43     34     48     52     72     61     44    483  48.30
    0518      罗芊     20     47     27      2     13     13      9     14     46      2    193  19.30
    0519      宋波     61     40     41     46     67     58     65     43     57     66    544  54.40
    0520    宋鸣玉     86     83     83     85     84     80     87     81     79     83    831  83.10
    0521    赵宇荫     52     75     82     71     85     78     83     83     80     86    775  77.50
    0522    孙映颖     90     51     96     63     59     66     57     88     62     95    727  72.70
    0523      孔崇     78     89     87     89     88     86     79     87     77     81    841  84.10
    0524    金浩宕     13     49     33     43      0     15     36     30     17     10    246  24.60
    0525    冯向萍     65     56     42     67     67     34     32     42     69     62    536  53.60
    0526      杜弛     66     65     97     98     53     86     63     53     71     96    748  74.80
    0527      白轮     45     49     45     42     64     46     47     45     69     55    507  50.70
    0528      易逸     57     54     83     69     55     83     53     79     53     77    663  66.30
    0529      李娣     88     96     86     93     96     77     93     93     93     88    903  90.30
    0530      萧之     74     52     61     65     57     39     43     32     35     64    522  52.20


    学号      姓名   语文   数学   英语   物理   化学   生物   历史   地理   政治   微机   总分 平均分
    0601    石安蕾     46     39     43     43     74     35     37     60     32     62    471  47.10
    0602      任势     82     84     78     90     85     81     81     76     80     84    821  82.10
    0603    马和同     98     94     92     78     83     81     78     84     77     89    854  85.40
    0604    刘凉夏     81     82     77     77     77     89     87     76     85     84    815  81.50
    0605    汤泰和     46     64     68     60     75     55     55     59     44     57    583  58.30
    0606    姚秋蝶     34     70     44     52     50     47     36     47     66     69    515  51.50
    0607      秦颖     18     12     25     29     30      7     35      9     32     17    214  21.40
    0608      唐沁     18     48     14     47     35     23     28      4     32     12    261  26.10
    0609    卢成益     86     96     98     94     90     94     89     97     98     92    934  93.40
    0610    许俊迈     85     99     98     85     98     85     69     93     66     87    865  86.50
    0611      孔琰     94     93     86    100     78     98     81     98     76     88    892  89.20
    0612      邱倡     66     56     33     51     37     49     67     33     43     45    480  48.00
    0613      赵钰     66     60     92     71     65     99     59     96     68     86    762  76.20
    0614      谢绪     68     58     34     52     49     61     39     70     63     67    561  56.10
    0615      钱彰     71     52     74     71     88     78     63     62     84     79    722  72.20
    0616      赵瑎     81     88     89     78     77     82     80     82     82     77    816  81.60
    0617    蔡俊发     94     93    100     99     98     94     98     98     97     97    968  96.80
    0618      邵碫     85     75     65     91     86     60     74     65     88     96    785  78.50
    0619    丁飞绿     97     94     93     86     87     95     93     79     80     81    885  88.50
    0620      程娟     87     77     88     79     77     76     78     77     82     78    799  79.90
    0621    朱锐利     73     73     31     66     42     49     63     59     35     55    546  54.60
    0622      郭民     87     83     84     87     83     78     87     83     84     82    838  83.80
    0623    杜帮琼     93     91     95     92     99     99     94    100     98     97    958  95.80
    0624      吴菁     83     94     97     84     98     92     79     78     99     99    903  90.30
    0625      朱荣     58     55     30     41     41     38     49     33     66     69    480  48.00
    0626      苏煜      4     37      4     13     44      5      3     33     46     25    214  21.40
    0627      任功     43     69     36     73     46     73     35     66     58     66    565  56.50
    0628      郝明     63     42     34     54     62     42     35     39     40     61    472  47.20
    0629    孙雨旋     96     94     91     94     91     93     92     86     76     93    906  90.60
    0630      马仞      6     33     45     40     31      5     43     36     15      7    261  26.10


    学号      姓名   语文   数学   英语   物理   化学   生物   历史   地理   政治   微机   总分 平均分
    0701    孟水瑶     40     43     62     33     36     60     59     65     35     71    504  50.40
    0702      文冉     56     34     41     39     64     66     61     50     43     48    502  50.20
    0703      卢姳     76     83     83     78     84     79     89     80     79     79    810  81.00
    0704      谢卓     37     47     42     69     39     72     38     73     38     31    486  48.60
    0705      江飙     94     95     94     91     95     94     98     96     98     99    954  95.40
    0706      赵贞     88     76     87     83     76     89     79     84     79     88    829  82.90
    0707    何康适     68     54     61     71     91     98     93     93     63     97    789  78.90
    0708    谢翔宇     66     34     70     72     32     73     72     47     70     47    583  58.30
    0709    周嘉许    100     89     70     98     57     63     51     51     86     86    751  75.10
    0710      孔展     80     81     88     77     86     88     80     86     83     90    839  83.90
    0711    尹嘉颖     88     84     87     89     81     82     78     79     86     83    837  83.70
    0712    戴迎蕾     68     69     68     72     95     69     69     52     59     90    711  71.10
    0713    谭安易     56     52     35     71     49     63     53     70     57     33    539  53.90
    0714    许鸿熙     88     58     99     97     95     92     86     55     58     64    792  79.20
    0715      汤义     53     55     63     52     90     85     67     87     51     87    690  69.00
    0716      阎偲     84     88     99     99     97     88     88     87     98     91    919  91.90
    0717    沈天路     95     92     97     98     93    100     94     95     99     92    955  95.50
    0718    漕天佑      6     49      9     18     10      6      9     16     35     41    199  19.90
    0719      侯儒     53     94     65     67     86    100     94     95     89     71    814  81.40
    0720    万冷瞳     18     13     37     36     29     36     39     35      4     28    275  27.50
    0721      邱渊     84     78     79     82     87     82     88     90     79     80    829  82.90
    0722    钟怡瑶     64     64     63     67     82     81     51     85     55     80    692  69.20
    0723    谭从筠     79     86     80     87     88     77     85     76     88     86    832  83.20
    0724      方炅     57     70     67     79     74     78     69     60     76     57    687  68.70
    0725      卢春     75     73     64     86     91     91     93     65     96     64    798  79.80
    0726      熊水     81     87     77     76     80     81     85     89     79     77    812  81.20
    0727    曾秋阳     79     82     56     85     79     54     60     78     64     52    689  68.90
    0728      林修     39     53     40     47     69     46     32     68     66     37    497  49.70
    0729      卢伊     80     94     89     97     92     77     93    100     97     87    906  90.60
    0730    熊婉静     31     38     56     67     58     70     46     58     70     68    562  56.20


